Effective date ,S&P 500
28/12/2018,2485.74
31/12/2018,2506.85
2/1/2019,2510.03
3/1/2019,2447.89
4/1/2019,2531.94
7/1/2019,2549.69
8/1/2019,2574.41
9/1/2019,2584.96
10/1/2019,2596.64
11/1/2019,2596.26
14/1/2019,2582.61
15/1/2019,2610.3
16/1/2019,2616.1
17/1/2019,2635.96
18/1/2019,2670.71
22/1/2019,2632.9
23/1/2019,2638.7
24/1/2019,2642.33
25/1/2019,2664.76
28/1/2019,2643.85
29/1/2019,2640
30/1/2019,2681.05
31/1/2019,2704.1
1/2/2019,2706.53
4/2/2019,2724.87
5/2/2019,2737.7
6/2/2019,2731.61
7/2/2019,2706.05
8/2/2019,2707.88
11/2/2019,2709.8
12/2/2019,2744.73
13/2/2019,2753.03
14/2/2019,2745.73
15/2/2019,2775.6
19/2/2019,2779.76
20/2/2019,2784.7
21/2/2019,2774.88
22/2/2019,2792.67
25/2/2019,2796.11
26/2/2019,2793.9
27/2/2019,2792.38
28/2/2019,2784.49
1/3/2019,2803.69
4/3/2019,2792.81
5/3/2019,2789.65
6/3/2019,2771.45
7/3/2019,2748.93
8/3/2019,2743.07
11/3/2019,2783.3
12/3/2019,2791.52
13/3/2019,2810.92
14/3/2019,2808.48
15/3/2019,2822.48
18/3/2019,2832.94
19/3/2019,2832.57
20/3/2019,2824.23
21/3/2019,2854.88
22/3/2019,2800.71
25/3/2019,2798.36
26/3/2019,2818.46
27/3/2019,2805.37
28/3/2019,2815.44
29/3/2019,2834.4
1/4/2019,2867.19
2/4/2019,2867.24
3/4/2019,2873.4
4/4/2019,2879.39
5/4/2019,2892.74
8/4/2019,2895.77
9/4/2019,2878.2
10/4/2019,2888.21
11/4/2019,2888.32
12/4/2019,2907.41
15/4/2019,2905.58
16/4/2019,2907.06
17/4/2019,2900.45
18/4/2019,2905.03
22/4/2019,2907.97
23/4/2019,2933.68
24/4/2019,2927.25
25/4/2019,2926.17
26/4/2019,2939.88
29/4/2019,2943.03
30/4/2019,2945.83
1/5/2019,2923.73
2/5/2019,2917.52
3/5/2019,2945.64
6/5/2019,2932.47
7/5/2019,2884.05
8/5/2019,2879.42
9/5/2019,2870.72
10/5/2019,2881.4
13/5/2019,2811.87
14/5/2019,2834.41
15/5/2019,2850.96
16/5/2019,2876.32
17/5/2019,2859.53
20/5/2019,2840.23
21/5/2019,2864.36
22/5/2019,2856.27
23/5/2019,2822.24
24/5/2019,2826.06
28/5/2019,2802.39
29/5/2019,2783.02
30/5/2019,2788.86
31/5/2019,2752.06
3/6/2019,2744.45
4/6/2019,2803.27
5/6/2019,2826.15
6/6/2019,2843.49
7/6/2019,2873.34
10/6/2019,2886.73
11/6/2019,2885.72
12/6/2019,2879.84
13/6/2019,2891.64
14/6/2019,2886.98
17/6/2019,2889.67
18/6/2019,2917.75
19/6/2019,2926.46
20/6/2019,2954.18
21/6/2019,2950.46
24/6/2019,2945.35
25/6/2019,2917.38
26/6/2019,2913.78
27/6/2019,2924.92
28/6/2019,2941.76
1/7/2019,2964.33
2/7/2019,2973.01
3/7/2019,2995.82
5/7/2019,2990.41
8/7/2019,2975.95
9/7/2019,2979.63
10/7/2019,2993.07
11/7/2019,2999.91
12/7/2019,3013.77
15/7/2019,3014.3
16/7/2019,3004.04
17/7/2019,2984.42
18/7/2019,2995.11
19/7/2019,2976.61
22/7/2019,2985.03
23/7/2019,3005.47
24/7/2019,3019.56
25/7/2019,3003.67
26/7/2019,3025.86
29/7/2019,3020.97
30/7/2019,3013.18
31/7/2019,2980.38
1/8/2019,2953.56
2/8/2019,2932.05
5/8/2019,2844.74
6/8/2019,2881.77
7/8/2019,2883.98
8/8/2019,2938.09
9/8/2019,2918.65
12/8/2019,2883.75
13/8/2019,2926.32
14/8/2019,2840.6
15/8/2019,2847.6
16/8/2019,2888.68
19/8/2019,2923.65
20/8/2019,2900.51
21/8/2019,2924.43
22/8/2019,2922.95
23/8/2019,2847.11
26/8/2019,2878.38
27/8/2019,2869.16
28/8/2019,2887.94
29/8/2019,2924.58
30/8/2019,2926.46
3/9/2019,2906.27
4/9/2019,2937.78
5/9/2019,2976
6/9/2019,2978.71
9/9/2019,2978.43
10/9/2019,2979.39
11/9/2019,3000.93
12/9/2019,3009.57
13/9/2019,3007.39
16/9/2019,2997.96
17/9/2019,3005.7
18/9/2019,3006.73
19/9/2019,3006.79
20/9/2019,2992.07
23/9/2019,2991.78
24/9/2019,2966.6
25/9/2019,2984.87
26/9/2019,2977.62
27/9/2019,2961.79
30/9/2019,2976.74
1/10/2019,2940.25
2/10/2019,2887.61
3/10/2019,2910.63
4/10/2019,2952.01
7/10/2019,2938.79
8/10/2019,2893.06
9/10/2019,2919.4
10/10/2019,2938.13
11/10/2019,2970.27
14/10/2019,2966.15
15/10/2019,2995.68
16/10/2019,2989.69
17/10/2019,2997.95
18/10/2019,2986.2
21/10/2019,3006.72
22/10/2019,2995.99
23/10/2019,3004.52
24/10/2019,3010.29
25/10/2019,3022.55
28/10/2019,3039.42
29/10/2019,3036.89
30/10/2019,3046.77
31/10/2019,3037.56
1/11/2019,3066.91
4/11/2019,3078.27
5/11/2019,3074.62
6/11/2019,3076.78
7/11/2019,3085.18
8/11/2019,3093.08
11/11/2019,3087.01
12/11/2019,3091.84
13/11/2019,3094.04
14/11/2019,3096.63
15/11/2019,3120.46
18/11/2019,3122.03
19/11/2019,3120.18
20/11/2019,3108.46
21/11/2019,3103.54
22/11/2019,3110.29
25/11/2019,3133.64
26/11/2019,3140.52
27/11/2019,3153.63
29/11/2019,3140.98
2/12/2019,3113.87
3/12/2019,3093.2
4/12/2019,3112.76
5/12/2019,3117.43
6/12/2019,3145.91
9/12/2019,3135.96
10/12/2019,3132.52
11/12/2019,3141.63
12/12/2019,3168.57
13/12/2019,3168.8
16/12/2019,3191.45
17/12/2019,3192.52
18/12/2019,3191.14
19/12/2019,3205.37
20/12/2019,3221.22
23/12/2019,3224.01
24/12/2019,3223.38
26/12/2019,3239.91
27/12/2019,3240.02
30/12/2019,3221.29
31/12/2019,3230.78
2/1/2020,3257.85
3/1/2020,3234.85
6/1/2020,3246.28
7/1/2020,3237.18
8/1/2020,3253.05
9/1/2020,3274.7
10/1/2020,3265.35
13/1/2020,3288.13
14/1/2020,3283.15
15/1/2020,3289.29
16/1/2020,3316.81
17/1/2020,3329.62
21/1/2020,3320.79
22/1/2020,3321.75
23/1/2020,3325.54
24/1/2020,3295.47
27/1/2020,3243.63
28/1/2020,3276.24
29/1/2020,3273.4
30/1/2020,3283.66
31/1/2020,3225.52
3/2/2020,3248.92
4/2/2020,3297.59
